filename,score
World Nuclear::call-for-action-on-nuclear-energy.txt,0.9575131833553314
World Nuclear::celebrate-the-50th-edition-of-the-world-nuclear-symposium-with-us.txt,0.9992690086364746
World Nuclear::celebrating-advanced-nuclear.txt,0.7599336802959442
World Nuclear::celebrating-four-decades-association-highlights-korean-nuclear-industrys-achievements.txt,0.9946658909320831
World Nuclear::ceraweek-event-tripling-nuclear-energy-capacity-by-2050-unleashing-nuclears-potential-to-power-data-centers-refineries-manufacturing-and-beyond.txt,0.9872359931468964
World Nuclear::climate-leaders-need-nuclear-energy-to-achieve-net.txt,0.9929785132408142
World Nuclear::combatting-climate-change-faster-with-new-nuclear.txt,-0.32873642444610596
World Nuclear::comment-on-the-new-uk-energy-security-strategy.txt,0.9965506792068481
World Nuclear::cop-22-must-enable-paris-agreement-objectives-to-b.txt,-0.5826815962791443
World Nuclear::cop-25-nuclear-innovation-for-clean-and-sustainabl.txt,0.996151864528656
World Nuclear::cop28-agreement-recognizes-accelerating-nuclear-as.txt,0.9725614190101624
World Nuclear::cop29-in-baku-a-landmark-event-for-the-global-nuclear-industry.txt,0.9992661476135254
World Nuclear::energizing-development-clean-air-and-energy-transition.txt,0.9737541675567627
World Nuclear::energizing-development-desalination.txt,0.9944848418235779
World Nuclear::energizing-technology.txt,0.9826244711875916
World Nuclear::energizing-the-future-highlights-from-energy-users-summit.txt,0.996285080909729
World Nuclear::energy-for-tomorrow-time-to-recognise-nuclear-ener.txt,0.993899941444397
World Nuclear::energy-ministers-include-nuclear-in-the-clean-ener.txt,0.9952324032783508
World Nuclear::european-parliament-has-chosen-to-listen-to-the-sc.txt,0.9991660118103027
World Nuclear::exerting-influence-world-nuclear-association-in-the-media-2024.txt,0.9581854045391083
World Nuclear::experts-join-iaea-nucleareurope-technical-meeting-on-developing-a-sustainable-nuclear-supply-chain-for-near-deployment-reactors.txt,0.9914904832839966
World Nuclear::experts-tell-cop24-nuclear-energy.txt,0.9949244260787964
World Nuclear::finance-strategic-summit-at-world-nuclear-symposium-a-qa-with-king-lee-head-of-policy-industry-engagement.txt,0.9960792362689972
World Nuclear::financing-nuclear-briefing-advances-nuclear-investment-agenda.txt,0.9923044443130493
World Nuclear::financing-nuclear-briefing-series-at-kpmg-london.txt,0.996329665184021
World Nuclear::financing-nuclear-briefing-series-hosted-by-stifel.txt,0.333340585231781
World Nuclear::finland-increases-energy-security-and-clean-energy.txt,0.8881316781044006
World Nuclear::first-small-modular-reactors-open-a-new-world-of-a.txt,0.9996389150619507
World Nuclear::floating-nuclear-plants---energizing-progress.txt,0.9974830746650696
World Nuclear::four-more-countries-endorse-global-declaration-to-triple-nuclear-energy.txt,0.7831884324550629
World Nuclear::four-topics-from-world-nuclear-associations-january-working-groups-for-the-industry-to-take-forward-in-2025.txt,0.9977297484874725
World Nuclear::from-cop30-to-asean-2026-shaping-an-era-of-nuclear-energy-delivery-together.txt,0.9969871640205383
World Nuclear::future-energy-jobs-bill-to-support-clean-energy-s.txt,0.995037853717804
World Nuclear::g7-pledges-to-accelerate-progress-on-nuclear-for-d.txt,0.9643544554710388
World Nuclear::global-nuclear-capacity-reaches-400-gwe-as-world-n.txt,0.9982671737670898
World Nuclear::global-nuclear-communicty-backs-iaea-call-for-safe.txt,0.657862663269043
World Nuclear::global-nuclear-community-calls-for-immediate-iaea.txt,0.9992997646331787
World Nuclear::global-nuclear-industry-gathers-in-poland-to-mobilize-2tn-supply-chain-opportunity.txt,0.9983020424842834
World Nuclear::global-nuclear-industry-leaders-meet-in-london-for-largest-ever-world-nuclear-symposium-as-uae-reactor-barakah-unit-4-enters-commercial-operation-5-se.txt,0.9957085847854614
World Nuclear::global-nuclear-industry-meets-in-london-to-energize-the-future-now.txt,0.9992208480834961
World Nuclear::global-trade-tensions-understanding-the-impact-of-tariffs-on-the-nuclear-industry.txt,0.834295779466629
World Nuclear::governments-recovery-programmes-should-invest-in-n.txt,-0.9089754223823547
World Nuclear::highlights-from-executive-plenary-day-one.txt,0.9938735961914062
World Nuclear::highlights-from-executive-plenary-day-two.txt,0.9948450326919556
World Nuclear::highlights-from-finance-summit.txt,0.987814337015152
World Nuclear::hinkley-point-c-approval.txt,0.9995853304862976
World Nuclear::how-we-compile-the-world-nuclear-fuel-report.txt,0.99869304895401
World Nuclear::iaea-and-world-nuclear-association-formalise-coope.txt,0.996533066034317
World Nuclear::iaea-ukraine-nuclear-industry-statement.txt,0.9983083009719849
World Nuclear::icrp-symposium-2025-collaboration-and-clarity-pave-the-way-for-the-next-revision-of-the-radiation-protection-system.txt,0.8788595497608185
World Nuclear::iea-calls-for-support-for-nuclear.txt,0.9966339468955994
World Nuclear::iea-nuclear-generation-to-double-to-meet-sustainab.txt,-0.6995001435279846
World Nuclear::iea-oecd-nea-says-nuclear-global-capacity-must-mor.txt,0.9859868884086609
World Nuclear::iea-recovery-plan-says-investing-in-nuclear-will-g.txt,0.8853743672370911
World Nuclear::iea-says-nuclear-is-needed-to-achieve-sustainable.txt,0.007018744945526123
World Nuclear::india-energyweek-2026-indias-acceleration-towards-newnuclear-energy-capacity.txt,0.9951324661572775
World Nuclear::india-in-focus-nuclear-ambitions-and-global-engagement.txt,0.9986774325370789
World Nuclear::industry-statement-at-brussels-nuclear-energy-summ.txt,0.998357355594635
World Nuclear::industry-statement-to-the-tenth-review-conference.txt,0.9969332019488016
World Nuclear::international-nuclear-industry-associations-unite-ahead-of-cop30.txt,0.9973052144050598
World Nuclear::international-women’s-day-world-nuclear-associatio.txt,0.9853475689888
World Nuclear::invest-in-nuclear-to-succeed-in-the-post-covid-rec.txt,1.0609626770019531e-05
World Nuclear::japan-reactor-restart-finally-puts-the-country-on.txt,0.9962409734725952
World Nuclear::landmark-ministerial-declaration-puts-nuclear-ener.txt,0.9959360361099243
